time,state,uptime_s,voltage_mv,uart_rx
13:33:46,online,6307,4319,3907
13:34:17,online,6338,4317,3931
13:34:48,online,6369,4315,3942
13:35:19,online,6400,4313,3966
13:35:50,online,6431,4310,3977
13:36:21,online,6462,4310,4001
13:36:52,online,6493,4312,4012
13:37:23,online,6524,4311,4036
13:37:54,online,6554,4310,4047
13:38:24,online,6585,4311,4071
13:38:55,online,6616,4313,4082
13:39:26,online,6647,4313,4106
13:39:57,online,6678,4314,4117
13:40:27,online,6708,4315,4141
13:40:58,online,6739,4316,4152
13:41:29,online,6770,4316,4176
13:42:00,online,6801,4316,4187
13:42:31,online,6832,4317,4211
13:43:02,online,6863,4318,4250
13:43:33,online,6894,4319,4274
13:44:04,online,6925,4321,4285
13:44:35,online,6956,4321,4309
13:45:06,online,6987,4322,4320
13:45:37,online,7018,4322,4344
13:46:08,online,7048,4322,4355
13:46:38,online,7079,4323,4379
13:47:09,online,7110,4323,4390
13:47:40,online,7141,4324,4414
13:48:11,online,7172,4324,4425
13:48:42,online,7203,4324,4449
13:49:13,online,7234,4325,4471
13:49:44,online,7265,4325,4484
13:50:15,online,7296,4325,4506
13:50:46,online,7327,4325,4517
13:51:17,online,7358,4326,4528
13:51:47,online,7388,4326,4613
13:52:18,online,7419,4326,4624
13:52:49,online,7450,4325,4648
13:53:20,online,7481,4325,4670
13:53:51,online,7511,4324,4694
13:54:21,online,7543,4324,4705
13:54:52,online,7573,4323,4729
13:55:23,online,7604,4322,4766
13:55:54,online,7635,4322,4790
13:56:25,online,7666,4321,4801
13:56:56,online,7697,4321,4825
13:57:27,online,7728,4321,4836
13:57:58,online,7759,4322,4860
13:58:29,online,7789,4322,4871
13:58:59,online,7820,4322,4895
13:59:30,online,7851,4322,4906
14:00:01,online,7882,4322,4930
14:00:32,online,7913,4321,4941
14:01:03,online,7944,4322,4965
14:01:34,online,7974,4321,4976
14:02:04,online,8005,4322,5039
14:02:35,online,8036,4322,5050
14:03:06,online,8067,4322,5074
14:03:37,online,8098,4322,5085
14:03:52,online,8113,4322,5109
14:04:08,online,8129,4322,5109
14:04:23,online,8143,4322,5120
14:04:39,online,8160,4322,5120
14:04:53,online,8174,4323,5144
14:05:11,online,8192,4323,5144
14:05:24,online,8205,4323,5155
14:05:42,online,8223,4324,5168
14:05:55,online,8236,4324,5190
14:06:14,online,8255,4324,5201
14:06:26,online,8267,4324,5201
14:06:45,online,8286,4324,5212
14:06:56,online,8297,4324,5225
14:07:17,online,8318,4323,5236
14:07:27,online,8328,4323,5236
14:07:48,online,8349,4323,5247
14:07:58,online,8359,4323,5260
14:08:20,online,8381,4322,5271
14:08:29,online,8390,4322,5271
14:08:51,online,8413,4322,5282
14:09:00,online,8421,4322,5308
14:09:23,online,8444,4322,5319
14:09:31,online,8452,4322,5319
14:09:54,online,8476,4322,5330
14:10:02,online,8483,4322,5343
14:10:26,online,8507,4322,5354
14:10:33,online,8514,4322,5354
14:10:58,offline,,,
14:11:04,offline,,,
14:11:28,offline,,,
14:11:34,offline,,,
14:11:59,offline,,,
14:12:04,offline,,,
14:12:29,offline,,,
14:12:35,offline,,,
